title	rating
Juno	PG-13
Mad Max 2: The Road Warrior	R
Superbad	R
The Experiment	R
The Graduate	APPROVED
Boogie Nights	R
Aliens	R
The Damned United	R
Miller"s Crossing	R
Eastern Promises	R
Brokeback Mountain	R
Seven Samurai	UNRATED
The 39 Steps	UNRATED
Cinema Paradiso	R
Frankenstein	UNRATED
Adam"s Apples	R
Whiplash	R
Monsters, Inc.	G
Fearless	PG-13
The Last Picture Show	R
The Class	PG-13
Dial M for Murder	PG
Ponyo	G
Love Actually	R
Birdman: Or (The Unexpected Virtue of Ignorance)	R
Bullitt	PG
The Girl with the Dragon Tattoo	R
Being John Malkovich	R
The Book Thief	PG-13
The Godfather: Part III	R
Withnail & I	R
The Sound of Music	G
Philadelphia	PG-13
Hannah and Her Sisters	PG-13
Frenzy	R
A Single Man	R
Gone Baby Gone	R
The Thin Red Line	R
Repulsion	UNRATED
Saw	R
Predator	R
True Grit	
Braindead	R
Blow	R
The Great Debaters	PG-13
X-Men: Days of Future Past	PG-13
Groundhog Day	PG
Swades	NOT RATED
Source Code	PG-13
Brazil	R
Unforgiven	R
The Texas Chain Saw Massacre	R
Taxi Driver	R
August Rush	PG
Control	R
The Deer Hunter	R
Limitless	PG-13
The Man Who Shot Liberty Valance	APPROVED
National Lampoon"s Vacation	R
Grindhouse	R
True Grit	PG-13
My Left Foot	R
Barfi!	NOT RATED
Inglourious Basterds	R
Looper	R
Hunger	NOT RATED
Apocalypse Now	R
Gladiator	R
The Perks of Being a Wallflower	PG-13
Life Is Beautiful	PG-13
3-Iron	R
A Very Long Engagement	R
Cast Away	PG-13
Anatomy of a Murder	UNRATED
The Fugitive	PG-13
Atonement	R
The Day of the Jackal	PG
Legends of the Fall	R
Network	R
Charade	NOT RATED
Mysterious Skin	NC-17
The Blind Side	PG-13
The Notebook	PG-13
Trainspotting	R
The Pursuit of Happyness	PG-13
The General	UNRATED
No Country for Old Men	R
Dawn of the Planet of the Apes	PG-13
All the President"s Men	R
X-Men: First Class	PG-13
Tangled	PG
Invasion of the Body Snatchers	APPROVED
Reservoir Dogs	R
Rebel Without a Cause	PG-13
Pan"s Labyrinth	R
Raising Arizona	PG-13
The Conversation	PG
Jin ling shi san chai	R
Tell No One	UNRATED
Rise of the Planet of the Apes	PG-13
The Machinist	R
Ghost World	R
Indiana Jones and the Temple of Doom	PG
A Fistful of Dollars	R
Princess Mononoke	PG-13
Ying xiong	PG-13
The Great Dictator	APPROVED
Rain Man	R
The Hunger Games: Catching Fire	PG-13
Amelie	R
Casino	R
Where Eagles Dare	
Pirate Radio	R
The Iron Giant	PG
The Count of Monte Cristo	PG-13
Ran	R
Labyrinth	PG
The English Patient	R
Once Upon a Time in America	R
Goodfellas	R
Midnight Run	R
Snow White and the Seven Dwarfs	APPROVED
Equilibrium	R
The Intouchables	R
The Proposition	R
The Bridge on the River Kwai	PG
Kaze tachinu	PG-13
Raging Bull	R
Transamerica	R
Rio Bravo	NOT RATED
Bad Education	NC-17
The Prestige	PG-13
4 Months, 3 Weeks and 2 Days	NOT RATED
Home Alone	PG
Blazing Saddles	R
The Usual Suspects	R
The Truman Show	PG
Silver Linings Playbook	R
X2	PG-13
Forrest Gump	PG-13
Tootsie	PG
Keith	PG-13
Munna Bhai M.B.B.S.	NOT RATED
Black Swan	R
Once	R
Night on Earth	R
L.A. Confidential	R
Pleasantville	PG-13
The Lord of the Rings: The Two Towers	PG-13
Army of Darkness	R
Misery	R
The Hurt Locker	R
House of Sand and Fog	R
Field of Dreams	PG
Edward Scissorhands	PG-13
The Fisher King	R
Fury	R
La Femme Nikita	R
Biutiful	R
Amadeus	R
Modern Times	G
There Will Be Blood	R
Head-On	R
The Last of the Mohicans	R
Pinocchio	APPROVED
Lost Highway	R
The Social Network	PG-13
Up	PG
Notes on a Scandal	R
End of Watch	R
Departures	PG-13
The Abyss	PG-13
2046	R
Diabolique	UNRATED
Dogville	R
Following	R
Brick	R
Back to the Future Part II	PG
Harry Potter and the Deathly Hallows: Part 1	PG-13
Ghost Dog: The Way of the Samurai	R
The Royal Tenenbaums	R
Incendies	R
Best in Show	PG-13
Say Anything...	PG-13
3 Idiots	PG-13
Boys Don"t Cry	R
Mystic River	R
The Lives of Others	R
The Good, the Bad and the Ugly	NOT RATED
Memento	R
Oldeuboi	R
Finding Nemo	G
Battleship Potemkin	UNRATED
The Wages of Fear	NOT RATED
In the Heat of the Night	APPROVED
The Last King of Scotland	R
The Best Years of Our Lives	PASSED
Gattaca	PG-13
Blade Runner	R
Witness for the Prosecution	APPROVED
Stalker	NOT RATED
It"s a Wonderful Life	APPROVED
Guess Who"s Coming to Dinner	UNRATED
Days of Heaven	PG
Babel	R
Shaun of the Dead	R
Adaptation.	R
Toy Story	G
Furious 7	PG-13
Fear and Loathing in Las Vegas	R
Mr. Smith Goes to Washington	NOT RATED
Underground	NOT RATED
Stalag 17	NOT RATED
The Girl with the Dragon Tattoo	R
Shutter Island	R
The Hurricane	R
Before Sunset	R
Falling Down	R
Match Point	R
Leaving Las Vegas	R
The City of Lost Children	R
The Party	PG
Felon	R
The Mission	PG
Detachment	NOT RATED
The Sandlot	PG
Downfall	R
Rang De Basanti	NOT RATED
Memories of Murder	UNRATED
Letters from Iwo Jima	R
Black Cat, White Cat	R
In the Loop	NOT RATED
The Princess Bride	PG
Catch Me If You Can	PG-13
Sympathy for Mr. Vengeance	R
Star Trek	PG-13
Perfume: The Story of a Murderer	R
A Clockwork Orange	X
The Color Purple	PG-13
Poltergeist	PG
The Meaning of Life	R
Rear Window	APPROVED
An American Werewolf in London	R
Gravity	PG-13
Beauty and the Beast	G
Braveheart	R
Up in the Air	R
All About Eve	APPROVED
The Wild Bunch	R
Three Days of the Condor	R
Stardust	PG-13
Goldfinger	APPROVED
The Jungle Book	APPROVED
The Judge	R
Harry Potter and the Order of the Phoenix	PG-13
Titanic	PG-13
The Secret in Their Eyes	R
Saving Private Ryan	R
The Man Who Knew Too Much	PG
Cabaret	PG
Badlands	PG
The Green Mile	R
Let the Right One In	R
La Strada	NOT RATED
Terminator 2: Judgment Day	R
Sleepers	R
The Artist	PG-13
The Name of the Rose	R
What Ever Happened to Baby Jane?	APPROVED
Paprika	R
Amour	PG-13
The World"s Fastest Indian	PG-13
Eternal Sunshine of the Spotless Mind	R
Butch Cassidy and the Sundance Kid	
Lagaan: Once Upon a Time in India	PG
Show Me Love	UNRATED
The Town	R
Being There	PG
Funny Games	UNRATED
Persona	NOT RATED
The Bourne Supremacy	PG-13
The Butterfly Effect	R
Lincoln	PG-13
Doctor Zhivago	PG-13
This Is England	UNRATED
Casablanca	PG
Maria Full of Grace	R
The Silence of the Lambs	R
Interview with the Vampire: The Vampire Chronicles	R
The Devil"s Backbone	R
The Remains of the Day	PG
Once Upon a Time in the West	PG-13
The Reader	R
Shine	PG-13
East of Eden	PG
The 400 Blows	NOT RATED
12 Angry Men	NOT RATED
The Last Temptation of Christ	R
Dazed and Confused	R
Jusan-nin no shikaku	R
Begin Again	R
First Blood	R
La Haine	NOT RATED
Spartacus	PG-13
My Neighbor Totoro	G
Stranger Than Fiction	PG-13
The Sixth Sense	PG-13
Avatar	PG-13
Harry Potter and the Goblet of Fire	PG-13
Stand by Me	R
All About My Mother	R
Spring, Summer, Fall, Winter... and Spring	R
Down by Law	R
Boy A	R
Munich	R
Slumdog Millionaire	R
12 Years a Slave	R
Harvey	NOT RATED
The Little Mermaid	G
Touch of Evil	PG-13
Bullets Over Broadway	R
Boyhood	R
Glengarry Glen Ross	R
The Battle of Algiers	NOT RATED
A Beautiful Mind	PG-13
Lilya 4-Ever	R
Lost in Translation	R
Rocky	PG
Duck Soup	PASSED
Dead Man Walking	R
The Right Stuff	R
Hot Fuzz	R
2001: A Space Odyssey	G
Interstellar	PG-13
Excalibur	R
Donnie Brasco	R
The Grapes of Wrath	NOT RATED
Zelig	PG
The Adventures of Robin Hood	PG
The Last Emperor	PG-13
The Birds	PG-13
Hamlet	PG-13
Office Space	R
Bonnie and Clyde	APPROVED
The Big Sleep	APPROVED
Life as a House	R
Die Hard: With a Vengeance	R
Rebecca	NOT RATED
The Big Lebowski	R
Lawrence of Arabia	PG
The Searchers	APPROVED
Ordinary People	R
A Bridge Too Far	PG
Vertigo	APPROVED
Howl"s Moving Castle	PG
The Assassination of Jesse James by the Coward Robert Ford	R
Who"s Afraid of Virginia Woolf?	TV-MA
The Legend of Drunken Master	R
Battle Royale	NOT RATED
It"s a Mad, Mad, Mad, Mad World	APPROVED
Freedom Writers	PG-13
Dilwale Dulhania Le Jayenge	NOT RATED
Jacob"s Ladder	R
Star Trek: First Contact	PG-13
Little Miss Sunshine	R
The Three Burials of Melquiades Estrada	R
Toki o kakeru shojo	NOT RATED
Fanny and Alexander	R
Some Like It Hot	NOT RATED
The Man Who Would Be King	PG
The Avengers	PG-13
E.T. the Extra-Terrestrial	PG
Sling Blade	R
Taare Zameen Par	PG
Carlito"s Way	R
Judgment at Nuremberg	NOT RATED
The Warriors	R
The Exorcist	R
The Dark Knight Rises	PG-13
For a Few Dollars More	APPROVED
The Hunt for Red October	PG
3:10 to Yuma	R
Remember the Titans	PG
The Sea Inside	PG-13
Yojimbo	UNRATED
The Nightmare Before Christmas	PG
The Maltese Falcon	NOT RATED
Minority Report	PG-13
A Bronx Tale	R
A History of Violence	R
A Perfect World	PG-13
Glory	R
Fantastic Mr. Fox	PG
Wall Street	R
On the Waterfront	NOT RATED
Man Bites Dog	NC-17
Dirty Harry	R
Thank You for Smoking	R
Evil Dead II	X
My Fair Lady	APPROVED
Castle in the Sky	PG
Three Colors: White	R
Talk to Her	R
Kingsman: The Secret Service	R
Finding Neverland	PG
Beetlejuice	PG
Suspiria	X
Philomena	PG-13
Ed Wood	R
Citizen Kane	APPROVED
We Need to Talk About Kevin	R
Gone with the Wind	G
Solaris	PG
127 Hours	R
Taken	PG-13
Y Tu Mama Tambien	R
Christmas Vacation	PG-13
Ghost in the Shell	NOT RATED
Captain America: The Winter Soldier	PG-13
Bound	R
Ikiru	NOT RATED
Nine Queens	R
Paris, Texas	R
La Dolce Vita	NOT RATED
Singin" in the Rain	APPROVED
The Best Offer	R
Gangs of New York	R
What"s Eating Gilbert Grape	PG-13
The Shining	R
Master and Commander: The Far Side of the World	PG-13
Batman Begins	PG-13
Ice Age	PG
Billy Elliot	PG-13
Night of the Living Dead	UNRATED
Sherlock Holmes	PG-13
Scott Pilgrim vs. the World	PG-13
In the Mood for Love	PG
The King"s Speech	R
Driving Miss Daisy	PG
The Man Who Wasn"t There	R
Kramer vs. Kramer	APPROVED
Se7en	R
The Fighter	R
MASH	R
Nebraska	R
Full Metal Jacket	R
The Night of the Hunter	APPROVED
Across the Universe	PG-13
Nausicaa of the Valley of the Wind	PG
Reign Over Me	R
Good Night, and Good Luck.	PG
Willy Wonka & the Chocolate Factory	G
The Bourne Identity	PG-13
Love Me If You Dare	R
Fried Green Tomatoes	PG-13
50/50	R
Sweeney Todd: The Demon Barber of Fleet Street	R
Lust, Caution	NC-17
Papillon	R
In the Bedroom	R
The Return	UNRATED
Much Ado About Nothing	PG-13
Blue Is the Warmest Color	NC-17
All Quiet on the Western Front	UNRATED
The Grand Budapest Hotel	R
A Fish Called Wanda	R
Close Encounters of the Third Kind	PG
The Painted Veil	PG-13
Star Trek II: The Wrath of Khan	PG
Despicable Me	PG
The Illusionist	PG-13
The Impossible	PG-13
Star Wars	PG
The Fall	R
Requiem for a Dream	R
The Omen	R
The Killer	R
Before Midnight	R
Blow-Up	NOT RATED
A Nightmare on Elm Street	R
The Killing Fields	R
Disconnect	R
Ferris Bueller"s Day Off	PG-13
Stagecoach	NOT RATED
The Breakfast Club	R
Black Book	R
The Fifth Element	PG-13
Strangers on a Train	APPROVED
The Adventures of Priscilla, Queen of the Desert	R
Raiders of the Lost Ark	PG
The Apartment	APPROVED
The Last Samurai	R
Iron Man	PG-13
The Lord of the Rings: The Fellowship of the Ring	PG-13
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	PG
A Prophet	R
The Station Agent	R
The Ten Commandments	APPROVED
Fruitvale Station	R
Skyfall	PG-13
In America	PG-13
Moonrise Kingdom	PG-13
The Seventh Seal	NOT RATED
Three Colors: Blue	R
Miracle on 34th Street	APPROVED
Harry Potter and the Half-Blood Prince	PG
Breakfast at Tiffany"s	NOT RATED
Arsenic and Old Lace	NOT RATED
Star Wars: Episode V - The Empire Strikes Back	PG
Laura	APPROVED
Hotel Rwanda	PG-13
Nightcrawler	R
The Philadelphia Story	NOT RATED
Pride & Prejudice	PG
JFK	R
Mary Poppins	APPROVED
Whale Rider	PG-13
Django Unchained	R
The Shawshank Redemption	R
Mulholland Dr.	R
The Sting	PG
My Sister"s Keeper	PG-13
Grave of the Fireflies	UNRATED
Scarface	R
Dil Chahta Hai	NOT RATED
The Cabinet of Dr. Caligari	UNRATED
Man on the Moon	R
Bicycle Thieves	NOT RATED
How to Train Your Dragon 2	PG
Drive	R
Cowboy Bebop: The Movie	R
The Man from Nowhere	R
Blood Diamond	R
The Kite Runner	PG-13
Run Lola Run	R
Before Sunrise	R
Despicable Me 2	PG
Cloud Atlas	R
Chaplin	PG-13
High Fidelity	R
The Treasure of the Sierra Madre	NOT RATED
300	R
Animal House	R
The Constant Gardener	R
The Hangover	R
In a Better World	R
Coraline	PG
Big Fish	PG-13
Witness	R
Wild Strawberries	UNRATED
The Natural	PG
The Untouchables	R
Bringing Up Baby	APPROVED
The Departed	R
Midnight Express	R
Fargo	R
I Saw the Devil	NOT RATED
Doubt	PG-13
Das Boot	R
The Hobbit: The Desolation of Smaug	PG-13
Elite Squad: The Enemy Within	UNRATED
RoboCop	R
Fiddler on the Roof	G
Die Hard	R
Devil"s Advocate	R
Dancer in the Dark	R
Inside Llewyn Davis	R
28 Days Later...	R
Twelve Monkeys	R
The Third Man	NOT RATED
The Matrix	R
Frozen	PG
Metropolis	NOT RATED
The Evil Dead	NC-17
Guardians of the Galaxy	PG-13
Planes, Trains & Automobiles	R
Escape from Alcatraz	PG
Rushmore	R
Psycho	R
Ben-Hur	G
A Christmas Story	PG
Malena	R
Open Range	R
The Imitation Game	PG-13
Enemy at the Gates	R
The Blues Brothers	R
One Flew Over the Cuckoo"s Nest	R
O Brother, Where Art Thou?	PG-13
Jackie Brown	R
Law Abiding Citizen	R
The Elephant Man	PG
Hodejegerne	R
Edge of Tomorrow	PG-13
Zero Dark Thirty	R
Midnight in Paris	PG-13
Open Your Eyes	R
The Great Escape	UNRATED
Blood Simple.	R
Hachi: A Dog"s Tale	G
Everything Is Illuminated	PG-13
Chinatown	R
Rashomon	UNRATED
Platoon	R
In Bruges	R
Annie Hall	PG
Deliverance	R
Young Frankenstein	PG
Ocean"s Eleven	PG-13
(500) Days of Summer	PG-13
The King of Comedy	PG
Watchmen	R
The Life of David Gale	R
Sherlock Holmes: A Game of Shadows	PG-13
Ratatouille	G
Heat	R
The Orphanage	R
The Hours	PG-13
The Boy in the Striped Pajamas	PG-13
Dawn of the Dead	UNRATED
The Diving Bell and the Butterfly	PG-13
Fight Club	R
Capote	R
The Fault in Our Stars	PG-13
Rust and Bone	R
Deconstructing Harry	R
Casino Royale	PG-13
Crash	R
Shadow of a Doubt	APPROVED
Man on Fire	R
Life of Pi	PG
Dallas Buyers Club	R
Star Trek Into Darkness	PG-13
Harry Potter and the Sorcerer"s Stone	PG
Le passe	PG-13
Argo	R
The Visitor	PG-13
Midnight Cowboy	X
Star Wars: Episode VI - Return of the Jedi	PG
The Wicker Man	R
How to Train Your Dragon	PG
V for Vendetta	R
Manhattan	R
Buffalo "66	R
Jodaeiye Nader az Simin	PG-13
Crimes and Misdemeanors	PG-13
Short Term 12	R
Kiki"s Delivery Service	G
The Incredibles	PG
Seven Pounds	PG-13
Heavenly Creatures	R
A Streetcar Named Desire	PG
Fantasia	G
WALL-E	G
Kelly"s Heroes	GP
The Counterfeiters	R
Moulin Rouge!	PG-13
Gallipoli	PG
The Triplets of Belleville	PG-13
Lord of War	R
Enter the Dragon	R
Children of Men	R
King Kong	UNRATED
Amarcord	R
The Bridges of Madison County	PG-13
The Curse of the Were-Rabbit	G
Secrets & Lies	R
From Russia with Love	APPROVED
The Aviator	PG-13
Smoke	R
Shane	APPROVED
Trading Places	R
Kung Fu Panda	PG
Black Hawk Down	R
42	PG-13
Take Shelter	R
The Theory of Everything	PG-13
21 Grams	R
Total Recall	R
Blue Valentine	NC-17
Miracle	PG
The Goonies	PG
The Dirty Dozen	NOT RATED
Lucky Number Slevin	R
Shrek	PG
Alice in Wonderland	G
Saving Mr. Banks	PG-13
Clerks	R
Dracula	R
To Kill a Mockingbird	NOT RATED
Hard Boiled	R
Menace II Society	R
Tucker and Dale vs. Evil	R
District 9	R
Running Scared	R
Indiana Jones and the Last Crusade	PG-13
Pink Floyd The Wall	R
Harold and Maude	GP
The Celebration	R
To Catch a Thief	APPROVED
The Hustler	UNRATED
From Here to Eternity	NOT RATED
Planet of the Apes	G
Sideways	R
Rudy	PG
Secondhand Lions	PG
The Bucket List	PG-13
Notorious	APPROVED
Mean Streets	R
The Wrestler	R
Leon: The Professional	R
About Time	R
Eraserhead	UNRATED
The Magnificent Seven	NOT RATED
City Lights	PASSED
Green Street Hooligans	R
Boyz n the Hood	R
Ip Man 2	R
Central Station	R
The Player	R
Sleuth	PG
Million Dollar Baby	PG-13
{Rec}	R
Cinderella Man	PG-13
American Gangster	R
Forbidden Planet	PASSED
Gone Girl	R
Primal Fear	R
The Purple Rose of Cairo	PG
Inception	PG-13
Dead Poets Society	PG
La leggenda del pianista sull"oceano	R
My Cousin Vinny	R
When Harry Met Sally...	R
The Outlaw Josey Wales	PG
The Simpsons Movie	PG-13
The Crow	R
The Straight Story	G
Crazy, Stupid, Love.	PG-13
The Help	PG-13
The Manchurian Candidate	APPROVED
Death at a Funeral	R
Yip Man	R
Harry Potter and the Deathly Hallows: Part 2	PG-13
Nosferatu	UNRATED
My Name Is Khan	PG-13
L"illusionniste	PG
His Girl Friday	APPROVED
American Graffiti	PG
La piel que habito	R
The Insider	R
Malcolm X	PG-13
Predestination	R
Aguirre, the Wrath of God	NOT RATED
Almost Famous	R
25th Hour	R
American History X	R
The Godfather: Part II	R
Do the Right Thing	R
La Vie en Rose	PG-13
The Ice Storm	R
The Fly	R
Tombstone	R
Apollo 13	PG
Gandhi	PG
Ray	PG-13
In the Name of the Father	R
The Longest Day	G
Jurassic Park	PG-13
Kill Bill: Vol. 1	R
Walk the Line	PG-13
Akira	R
West Side Story	UNRATED
Life of Brian	R
Milk	R
Moon	R
Three Colors: Red	R
Roman Holiday	NOT RATED
Halloween	R
Awakenings	PG-13
Donnie Darko	R
The Bourne Ultimatum	PG-13
